事件,事件编码,事件等级,事件名称,版本号,事件类型,埋点触发时机,上报端,应用场景,是否落G库,通用/定制,事件备注,序号,字段,字段分类,字段名称,是否必传,是否为枚举,字段类型,字段说明,,,,,,,,,,,,
充值,100021,A,pay,1.0 ,角色事件,3种情况下触发该事件：未支付：角色创建订单时记录支付成功：收到SDK支付成功回调时记录确认发货完成：支付成功后对角色发货成功或补发成功时记录,服务端,基础运营分析/实时数据基础运营分析/用户维度数据基础运营分析/区服维度数据流失分析/转化分析（漏斗模型）合服分析/累计充值破冰分析/充值行为客诉处理/客服明细查询工具财务对账/充值流水及汇总数据,是,角色事件,通过【{pay_type}】充值商品 【{product_name}】 【{product_num}】个，订单金额【{order_amount}】，当前状态【{order_status}】,1,log_id,内置,日志id,是,否,string,"日志流水号,在一个游戏区服下，每条日志必须保证全局唯一性且递增",,,,,,,,,,,,
,,,,,,,,,,,,2,event_time,内置,事件时间,是,否,string,事件触发日期，时间格式为Z yyyy-MM-dd HH:mm:ss 时区+时间形式，如：+0800 2020-10-26 20:16:38,,,,,,,,,,,,
,,,,,,,,,,,,3,zone_id,基础,区服组id,是,否,string,来源游戏，服务器游戏产品ID,,,,,,,,,,,,
,,,,,,,,,,,,4,game_version,基础,游戏版本号,是,否,string,来源游戏，服务器上的游戏版本号,,,,,,,,,,,,
,,,,,,,,,,,,5,pub_id,基础,发行商id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,6,tunnel_id,基础,通道id,是,是,dimension,由CP-SDK透传给游戏记录，来源于绿岸CP-SDK包体,,,,,,,,,,,,
,,,,,,,,,,,,7,server_id,基础,区服id,是,否,string,来源游戏，服务器区服ID，角色创角原始区服，合服后仍传原始区服,,,,,,,,,,,,
,,,,,,,,,,,,8,cpsdk_account_id,基础,cpsdk账号id,是,否,string,由CP-SDK生成的cpsdk账号id,,,,,,,,,,,,
,,,,,,,,,,,,9,game_account_id,基础,游戏账号id,是,否,string,来源游戏，游戏的账号id,,,,,,,,,,,,
,,,,,,,,,,,,10,role_id,基础,角色id,是,否,string,来源游戏，游戏角色id,,,,,,,,,,,,
,,,,,,,,,,,,11,role_name,基础,角色名,是,否,string,来源游戏，角色当前角色名,,,,,,,,,,,,
,,,,,,,,,,,,12,order_id,扩展,游戏订单id,是,是,string,来源游戏，游戏内点击购买时生成的订单号,,,,,,,,,,,,
,,,,,,,,,,,,13,cpsdk_order_id,扩展,SDK订单id,是,是,string,CP-SDK返回给游戏的订单号,,,,,,,,,,,,
,,,,,,,,,,,,14,pay_type,扩展,充值类型,是,是,dimension,来源游戏，枚举说明【1=正常充值，99=GM充值（非人民币获得的游戏内部充值）， 其他枚举见 sheet-枚举表】,,,,,,,,,,,,
,,,,,,,,,,,,15,order_status,扩展,订单状态,是,是,dimension,来源游戏，枚举说明【1=未支付，3=支付成功，5=确认发货完成】,,,,,,,,,,,,
,,,,,,,,,,,,16,order_moneytype,扩展,订单货币类型,是,是,dimension,来源游戏，枚举说明【CNY=人民币】,,,,,,,,,,,,
,,,,,,,,,,,,17,order_amount,扩展,订单金额,是,是,currency,来源游戏，充值单位说明【单位：分】,,,,,,,,,,,,
,,,,,,,,,,,,18,money_amount,扩展,充值获得代币数量,是,是,int,来源游戏，订单内兑换的代币数量,,,,,,,,,,,,
,,,,,,,,,,,,19,product_id,扩展,商品id,是,是,dimension,来源游戏，充值购买商品的编号,,,,,,,,,,,,
,,,,,,,,,,,,20,product_name,扩展,商品名称,是,是,string,来源游戏，充值购买商品的名称,,,,,,,,,,,,
,,,,,,,,,,,,21,product_num,扩展,商品数量,是,是,int,来源游戏，充值购买商品的数量,,,,,,,,,,,,
,,,,,,,,,,,,22,device_id,扩展,设备id,是,是,string,来源于绿岸CP-SDK包体，用户设备的唯一id，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,23,user_ip,扩展,用户IP地址,是,是,string,来源于绿岸CP-SDK包体，客户端记录的IP地址，由CP-SDK透传给游戏记录,,,,,,,,,,,,
,,,,,,,,,,,,24,order_source,扩展,充值来源,否,是,dimension,充值来源新增枚举：活动充值，普通充值等，由策划定义,,,,,,,,,,,,
